Totales Territoriales	Comunidades y Ciudades Autónomas	Ramas de actividad	Periodo	Total
Total Nacional	02 Aragón	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	5.435.336
Total Nacional	02 Aragón	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	5.115.359
Total Nacional	02 Aragón	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	4.899.091
Total Nacional	02 Aragón	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	4.545.331
Total Nacional	02 Aragón	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	4.371.245
Total Nacional	02 Aragón	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	4.111.079
Total Nacional	02 Aragón	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	3.789.273
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	5.628.200
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	5.097.143
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	4.376.454
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	3.763.853
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	4.780.567
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	4.639.179
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	4.520.231
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	4.366.621
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	4.315.135
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	4.057.447
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	4.011.501
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	4.194.288
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	4.400.594
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	4.303.527
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	4.235.744
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	4.345.077
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	4.046.797
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	3.730.740
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	3.500.767
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	3.387.520
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	3.163.818
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	3.055.148
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	2.945.887
Total Nacional	03 Asturias, Principado de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	2.761.178
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	14.517.765
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	12.022.080
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	8.285.631
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	5.775.799
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	11.040.494
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	10.896.354
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	10.421.697
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	9.782.917
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	9.030.313
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	8.377.450
