Totales Territoriales	Comunidades y Ciudades Autónomas	Ramas de actividad	Periodo	Total
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	6.648.233
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	6.375.952
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	6.110.537
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	6.434.358
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	6.456.664
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	6.413.950
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	6.391.331
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	6.586.983
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	6.131.707
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	5.608.748
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	5.148.385
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	4.760.663
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	4.360.256
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	4.060.920
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	3.867.558
Total Nacional	08 Castilla - La Mancha	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	3.428.573
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	64.789.650
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	59.024.452
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	49.470.984
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	42.169.900
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	55.326.300
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	53.543.707
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	51.788.304
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	49.768.563
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	47.747.793
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	45.460.121
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	44.878.028
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	45.422.445
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	45.626.483
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	45.132.089
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	44.229.458
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	44.839.073
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	42.535.696
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	39.847.637
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	37.152.429
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	35.492.573
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	33.361.791
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	31.668.921
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	29.039.409
Total Nacional	09 Cataluña	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	26.855.999
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	31.589.808
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	28.900.082
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	24.671.503
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	20.988.942
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	26.515.929
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	25.712.143
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	24.824.899
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	23.733.282
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	22.749.891
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	21.597.410
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	21.156.552
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	21.553.301
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	22.517.941
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	22.249.507
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	22.294.799
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	23.258.827
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	22.055.763
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	20.740.929
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	19.468.877
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	18.527.725
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	17.286.769
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	16.670.553
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	15.605.796
Total Nacional	10 Comunitat Valenciana	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	14.244.842
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	4.033.898
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	3.764.930
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	3.235.741
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	2.782.377
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	3.368.781
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	3.301.628
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	3.326.381
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	3.029.027
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	2.820.760
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	2.664.944
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	2.742.328
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	2.756.835
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	2.801.864
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	2.805.604
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	2.746.375
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	2.834.433
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	2.722.512
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	2.547.045
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	2.399.701
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	2.294.578
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	2.126.390
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	2.036.909
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	1.892.714
Total Nacional	11 Extremadura	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	1.830.050
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	16.665.028
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	15.466.357
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	13.415.359
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	11.518.085
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	14.069.491
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	13.770.971
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	13.290.197
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	12.833.091
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	12.180.832
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	11.378.828
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	11.101.483
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	11.258.806
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	11.411.749
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	11.475.963
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	11.296.142
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	11.155.172
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	10.405.839
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	9.537.441
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	8.918.667
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	8.408.189
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	7.637.232
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	7.272.420
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	6.842.424
Total Nacional	12 Galicia	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	6.232.354
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	63.134.310
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	57.699.174
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	48.991.483
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	41.993.060
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	52.843.847
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	51.207.060
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	49.296.095
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	47.228.582
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	45.004.773
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	41.603.575
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	41.554.534
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	42.556.243
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	43.426.624
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	42.182.471
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	40.734.698
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	41.005.918
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	40.203.922
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	38.093.554
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	36.038.796
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	34.601.466
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	32.280.728
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	30.646.996
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	28.947.749
Total Nacional	13 Madrid, Comunidad de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	26.591.646
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	8.731.169
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	8.090.421
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	7.050.579
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	6.184.319
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	7.186.802
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	6.907.346
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	6.709.746
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	6.425.940
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	6.250.271
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	5.842.148
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	5.764.475
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	5.757.573
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	5.806.141
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	5.765.428
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	5.829.974
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	5.915.329
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	5.466.573
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	5.039.741
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	4.703.855
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	4.396.427
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	4.088.937
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	3.754.548
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	3.510.693
Total Nacional	14 Murcia, Región de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	3.114.530
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	4.550.395
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	4.159.702
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	3.574.528
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	3.026.965
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	3.850.075
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	3.704.629
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	3.586.013
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	3.480.643
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	3.242.058
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	3.014.977
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	2.964.624
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	2.998.620
Total Nacional	15 Navarra, Comunidad Foral de	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	3.071.655
