Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2019M04	546.683
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2019M03	184.534
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2019M02	79.968
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2019M01	33.085
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M12	61.330
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M11	58.161
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M10	881.253
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M09	1.411.660
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M08	1.515.180
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M07	1.584.076
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M06	1.472.147
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M05	1.233.891
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M04	459.838
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M03	180.302
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M02	83.217
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2018M01	38.157
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M12	36.874
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M11	69.905
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M10	873.049
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M09	1.402.757
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M08	1.531.695
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M07	1.591.845
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M06	1.384.753
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M05	1.190.334
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M04	464.239
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M03	167.168
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M02	75.260
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2017M01	32.458
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M12	42.022
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M11	58.392
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M10	803.670
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M09	1.368.430
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M08	1.571.374
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M07	1.552.517
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M06	1.376.186
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M05	1.171.272
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M04	425.451
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M03	199.976
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M02	78.473
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2016M01	30.287
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M12	35.467
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M11	48.323
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M10	714.122
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M09	1.191.107
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M08	1.432.152
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M07	1.393.516
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M06	1.206.777
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M05	1.016.598
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M04	393.094
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M03	135.984
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M02	55.263
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2015M01	27.990
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M10	803.910
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M09	652.925
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M08	729.160
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M07	715.913
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M06	660.380
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M05	652.651
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M04	743.026
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M03	811.224
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M02	791.026
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M01	775.205
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M12	747.514
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M11	768.429
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M10	784.487
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M09	658.368
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M08	707.265
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M07	687.191
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M06	649.652
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M05	649.173
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M04	725.372
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M03	828.786
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M02	770.172
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2024M01	746.968
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M12	731.278
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M11	728.564
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M10	774.691
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M09	638.832
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M08	674.709
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M07	688.055
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M06	619.759
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M05	617.283
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M04	695.029
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M03	741.229
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M02	700.653
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2023M01	673.560
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M12	723.799
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M11	666.629
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M10	721.849
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M09	587.130
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M08	665.616
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M07	651.278
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M06	574.488
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M05	563.937
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M04	658.770
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M03	656.717
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M02	577.292
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2022M01	443.617
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M12	508.024
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M11	584.672
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M10	624.599
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M09	388.915
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M08	366.953
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M07	255.033
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M06	134.735
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M05	87.306
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M04	65.707
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M03	55.474
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M02	39.136
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2021M01	46.836
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M12	104.196
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M11	84.894
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M10	68.123
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M09	51.227
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M08	136.261
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M07	97.938
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M06	1.775
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M05	291
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M04	0
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M03	289.279
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M02	688.464
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2020M01	628.105
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M12	628.113
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M11	634.648
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M10	673.109
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M09	562.768
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M08	607.832
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M07	622.600
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M06	576.967
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M05	568.963
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M04	647.035
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M03	710.417
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M02	634.664
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2019M01	639.124
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M12	642.350
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M11	639.649
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M10	718.448
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M09	606.126
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M08	638.295
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M07	652.275
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M06	589.652
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M05	583.881
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M04	644.188
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M03	729.997
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M02	657.333
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2018M01	642.860
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M12	642.719
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M11	658.593
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M10	739.988
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M09	638.737
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M08	659.333
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M07	693.038
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M06	611.462
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M05	579.429
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M04	695.954
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M03	690.758
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M02	650.602
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2017M01	644.425
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M12	637.758
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M11	629.597
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M10	715.254
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M09	576.947
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M08	642.934
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M07	650.021
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M06	563.596
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M05	564.893
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M04	625.885
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M03	680.723
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M02	636.921
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2016M01	614.550
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M12	594.705
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M11	623.142
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M10	649.227
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M09	529.113
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M08	581.974
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M07	556.671
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M06	478.274
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M05	504.860
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M04	538.446
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M03	605.887
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M02	560.104
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2015M01	570.862
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M10	489.862
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M09	395.584
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M08	443.529
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M07	435.925
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M06	394.807
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M05	384.571
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M04	451.068
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M03	494.581
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M02	475.209
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M01	460.928
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M12	446.804
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M11	459.283
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M10	477.152
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M09	391.845
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M08	425.445
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M07	410.831
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M06	391.360
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M05	385.327
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M04	443.095
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M03	503.686
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M02	471.508
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2024M01	444.751
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M12	441.882
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M11	436.474
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M10	473.419
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M09	385.746
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M08	413.645
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M07	418.798
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M06	372.925
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M05	369.015
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M04	424.621
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M03	449.486
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M02	426.140
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2023M01	400.758
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M12	427.039
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M11	398.047
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M10	442.136
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M09	355.596
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M08	411.778
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M07	401.861
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M06	345.581
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M05	339.220
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M04	398.435
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M03	394.383
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M02	340.660
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2022M01	259.184
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M12	308.739
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M11	357.111
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M10	392.785
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M09	235.277
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M08	231.111
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M07	167.453
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M06	88.317
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M05	49.815
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M04	33.400
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M03	29.938
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M02	19.578
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2021M01	28.751
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M12	64.394
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M11	52.083
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M10	42.024
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M09	25.754
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M08	92.967
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M07	68.017
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M06	1.264
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M05	231
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M04	0
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M03	178.491
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M02	420.264
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2020M01	369.812
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M12	372.199
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M11	372.728
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M10	402.558
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M09	333.552
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M08	367.361
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M07	379.233
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M06	351.019
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M05	336.415
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M04	397.078
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M03	428.440
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M02	379.827
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2019M01	379.888
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M12	383.645
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M11	381.776
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M10	443.753
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M09	375.219
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M08	399.516
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M07	410.128
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M06	371.985
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M05	364.111
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M04	398.917
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M03	452.820
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M02	410.837
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2018M01	400.798
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2017M12	404.490
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2017M11	406.283
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2017M10	469.583
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2017M09	405.639
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2017M08	422.383
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2017M07	440.035
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2017M06	384.504
