Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M12	453.304
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M11	545.964
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M10	994.193
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M09	1.048.117
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M08	924.449
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M07	884.341
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M06	962.995
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M05	1.033.106
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M04	923.021
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M03	659.339
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M02	472.605
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2019M01	436.073
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M12	423.278
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M11	498.889
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M10	946.684
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M09	1.016.072
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M08	901.047
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M07	865.237
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M06	938.731
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M05	1.006.793
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M04	863.922
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M03	613.758
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M02	456.137
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2018M01	401.303
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M12	386.124
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M11	472.909
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M10	947.601
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M09	1.040.807
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M08	929.351
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M07	879.464
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M06	929.609
