Comunidades  autónomas	Gastos y duración media de los viajes	Tipo de dato	Periodo	Total
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2025M02	1.768
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2025M01	1.973
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M12	1.921
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M11	1.684
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M10	1.911
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M09	1.764
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M08	1.820
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M07	1.909
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M06	1.901
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M05	2.010
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M04	1.597
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M03	1.750
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M02	1.697
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2024M01	1.905
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M12	1.754
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M11	1.588
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M10	1.751
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M09	1.666
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M08	1.653
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M07	1.829
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M06	1.783
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M05	1.787
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M04	1.616
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M03	1.629
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M02	1.599
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2023M01	1.667
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M12	1.734
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M11	1.519
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M10	1.544
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M09	1.538
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M08	1.616
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M07	1.748
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M06	1.691
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M05	1.662
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M04	1.524
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M03	1.435
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M02	1.422
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2022M01	1.558
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M12	1.518
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M11	1.304
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M10	1.489
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M09	1.439
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M08	1.381
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M07	1.521
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M06	1.507
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M05	1.424
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M04	1.328
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M03	1.352
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M02	1.329
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2021M01	1.295
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M12	1.392
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M11	1.239
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M10	1.546
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M09	1.339
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M08	1.352
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M07	1.495
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M06	760
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M05	0
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M04	0
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M03	1.283
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M02	1.272
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2020M01	1.426
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M12	1.506
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M11	1.296
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M10	1.354
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M09	1.414
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M08	1.396
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M07	1.541
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M06	1.535
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M05	1.304
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M04	1.303
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M03	1.205
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M02	1.264
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2019M01	1.316
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M12	1.361
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M11	1.210
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M10	1.380
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M09	1.262
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M08	1.419
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M07	1.440
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M06	1.558
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M05	1.208
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M04	1.227
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M03	1.170
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M02	1.143
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2018M01	1.201
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M12	1.364
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M11	1.194
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M10	1.328
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M09	1.361
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M08	1.414
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M07	1.467
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M06	1.522
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M05	1.327
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M04	1.189
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M03	1.156
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M02	1.207
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2017M01	1.287
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M12	1.231
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M11	1.140
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M10	1.359
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M09	1.289
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M08	1.312
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M07	1.538
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M06	1.651
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M05	1.322
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M04	1.114
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M03	1.383
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M02	1.254
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2016M01	1.170
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2015M12	1.210
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2015M11	1.222
13 Madrid, Comunidad de	Gasto medio por persona	Dato base	2015M10	1.250
