Totales Territoriales	Comunidades y Ciudades Autónomas	Ramas de actividad	Periodo	Total
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	22.538.267
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	21.675.441
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	21.388.142
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	20.636.251
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	20.693.890
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	21.265.200
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	22.261.796
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	22.590.616
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	22.366.414
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	23.614.274
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	22.873.639
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2006	21.339.027
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2005	19.638.043
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2004	18.115.298
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2003	17.036.426
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2002	16.131.558
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2001	15.252.724
Total Nacional	03 Asturias, Principado de	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2000	14.156.303
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2023 (A)	42.083.948
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2022 (P)	37.164.955
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021	30.512.146
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	26.669.106
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	34.350.576
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	33.185.968
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	31.746.251
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	30.233.284
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	28.653.742
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	27.108.615
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	26.227.926
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	26.224.305
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	26.646.250
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	26.797.013
